,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport,BlueWin
153,Yorick,MasterYi,Yasuo,Ezreal,Yuumi,Camille,Amumu,Zed,Caitlyn,Soraka,True
154,Riven,Trundle,Zed,Samira,Rakan,Sett,Kayn,Talon,Kennen,Jhin,False
155,Jayce,Udyr,Zed,MissFortune,Lux,Illaoi,Hecarim,Sylas,Caitlyn,Swain,True
156,Rengar,Warwick,Akali,Sivir,Zyra,Gangplank,Kindred,Zed,Lucian,Brand,True
157,Garen,Warwick,Akali,MissFortune,Lux,Akshan,Nocturne,Zed,Tristana,Senna,True
158,Ornn,Zed,Yasuo,Senna,Yuumi,DrMundo,LeeSin,Irelia,MissFortune,Karma,False
159,Garen,Mordekaiser,Zed,Caitlyn,Sona,Riven,Trundle,Vladimir,Draven,Blitzcrank,True
160,Darius,Garen,Ahri,Xayah,Morgana,Malzahar,Vi,Taric,Tristana,Lux,False
161,Mordekaiser,Amumu,Kassadin,Tristana,Thresh,FiddleSticks,Warwick,Ahri,Lucian,Yuumi,True
162,Teemo,Warwick,Neeko,Vayne,Yuumi,Quinn,MasterYi,Taric,Jinx,Soraka,False
163,Sett,MasterYi,TwistedFate,Kaisa,Zyra,Garen,Warwick,Karthus,Kalista,Yuumi,True
164,Urgot,Warwick,Sylas,Ashe,Yuumi,Shen,Udyr,Yone,Renekton,Morgana,False
165,Yorick,Warwick,Veigar,Rengar,Yuumi,Gwen,Kayn,Irelia,Lucian,Taric,False
166,Riven,Poppy,Zoe,Kaisa,Janna,Sett,Kayn,Nidalee,Twitch,Thresh,False
167,Singed,MasterYi,Swain,Garen,Lux,Yorick,Warwick,Ziggs,Sivir,Yuumi,True
168,Garen,Warwick,Zed,MissFortune,Yuumi,Darius,Vi,Vex,Jhin,Brand,False
169,Sett,Sylas,Yone,Jhin,Morgana,Jax,Warwick,Diana,Lucian,Yuumi,True
170,Jax,Lillia,Diana,Twitch,Amumu,Sett,Warwick,Chogath,Samira,Yuumi,True
171,Rumble,Warwick,Yone,Lucian,Yuumi,MissFortune,Rammus,Talon,Tristana,Maokai,False
172,Mordekaiser,Warwick,Xerath,Caitlyn,Yuumi,Jayce,Ekko,Kassadin,Kaisa,Leona,False
173,Riven,Nidalee,Yasuo,Varus,Nautilus,Darius,Warwick,Akshan,Vayne,Yuumi,False
174,DrMundo,Amumu,Akali,MissFortune,Lux,Olaf,Sejuani,Fizz,Caitlyn,Blitzcrank,False
175,DrMundo,XinZhao,Kassadin,Caitlyn,Seraphine,Yorick,Trundle,Sylas,Ezreal,Karma,False
176,DrMundo,Vi,Kassadin,Ashe,Lux,Garen,Warwick,Akshan,Ezreal,TwistedFate,True
177,DrMundo,XinZhao,Zed,Kaisa,Heimerdinger,Sett,Udyr,Akali,Ashe,Brand,False
178,DrMundo,Amumu,Irelia,Ashe,Blitzcrank,KSante,Skarner,Zed,Nilah,Rakan,False
179,Chogath,Ekko,Renekton,Jhin,Nami,DrMundo,Amumu,Veigar,Jinx,Senna,True
180,Garen,Warwick,Ziggs,Kaisa,Senna,Illaoi,Amumu,Irelia,Tristana,Brand,False
181,Garen,XinZhao,Neeko,Vayne,Lulu,Sejuani,MasterYi,Katarina,Jhin,Lux,False
182,Garen,XinZhao,Katarina,Vayne,Lux,Volibear,Rammus,Viktor,Sivir,Twitch,False
183,DrMundo,Rammus,Veigar,Lux,Morgana,Garen,Amumu,Galio,Lucian,Senna,True
184,Garen,Amumu,Varus,Jhin,Nami,Teemo,Nocturne,Ahri,Jinx,Sona,False
185,Yorick,Mordekaiser,Zed,Twitch,Lux,Garen,Amumu,Yone,Sivir,Zyra,True
186,Sivir,XinZhao,Syndra,Tristana,Nami,Tryndamere,Amumu,Yasuo,Samira,Sona,False
187,Sivir,XinZhao,Zed,Caitlyn,Morgana,DrMundo,Amumu,Xerath,Ezreal,Lux,False
188,TahmKench,Amumu,Yone,Sivir,Xerath,Jax,Trundle,Viktor,Jhin,Lux,False
189,Renekton,Amumu,Yasuo,Sivir,Zilean,Yorick,Belveth,Vex,Jhin,Lux,False
190,Teemo,Amumu,Akali,Sivir,Senna,Shen,Lillia,Katarina,Samira,Lux,False
191,Sion,Kindred,Ahri,Senna,Jhin,Nasus,Amumu,Lux,Sivir,Heimerdinger,True
192,Teemo,Viego,Veigar,Jhin,Lux,Sivir,Warwick,Vex,Ashe,Morgana,True
193,Sivir,Amumu,Velkoz,Jhin,Morgana,Mordekaiser,Poppy,Yone,Xayah,Zyra,False
194,Shyvana,Nunu,Annie,Ezreal,Lux,MissFortune,Khazix,Yone,Lucian,Amumu,False
195,Ryze,XinZhao,Malzahar,Caitlyn,Neeko,Darius,Rammus,Ekko,MissFortune,Velkoz,True
196,Singed,Amumu,Fizz,Zeri,Yuumi,Mordekaiser,Nunu,Tristana,Twitch,Taric,False
197,Yone,Nunu,Garen,Tristana,Xerath,Yorick,Diana,Talon,Varus,Heimerdinger,False
198,DrMundo,Amumu,Akali,MissFortune,Lux,Olaf,Sejuani,Fizz,Caitlyn,Blitzcrank,False
199,DrMundo,XinZhao,Kassadin,Caitlyn,Seraphine,Yorick,Trundle,Sylas,Ezreal,Karma,False
200,DrMundo,Vi,Kassadin,Ashe,Lux,Garen,Warwick,Akshan,Ezreal,TwistedFate,True
201,DrMundo,XinZhao,Zed,Kaisa,Heimerdinger,Sett,Udyr,Akali,Ashe,Brand,False
202,DrMundo,Amumu,Irelia,Ashe,Blitzcrank,KSante,Skarner,Zed,Nilah,Rakan,False
203,Chogath,Ekko,Renekton,Jhin,Nami,DrMundo,Amumu,Veigar,Jinx,Senna,True
204,Garen,Warwick,Ziggs,Kaisa,Senna,Illaoi,Amumu,Irelia,Tristana,Brand,False
205,Garen,XinZhao,Neeko,Vayne,Lulu,Sejuani,MasterYi,Katarina,Jhin,Lux,False
206,Garen,XinZhao,Katarina,Vayne,Lux,Volibear,Rammus,Viktor,Sivir,Twitch,False
207,DrMundo,Rammus,Veigar,Lux,Morgana,Garen,Amumu,Galio,Lucian,Senna,True
208,Garen,Amumu,Varus,Jhin,Nami,Teemo,Nocturne,Ahri,Jinx,Sona,False
209,Yorick,Mordekaiser,Zed,Twitch,Lux,Garen,Amumu,Yone,Sivir,Zyra,True
210,Sivir,XinZhao,Syndra,Tristana,Nami,Tryndamere,Amumu,Yasuo,Samira,Sona,False
211,Sivir,XinZhao,Zed,Caitlyn,Morgana,DrMundo,Amumu,Xerath,Ezreal,Lux,False
212,TahmKench,Amumu,Yone,Sivir,Xerath,Jax,Trundle,Viktor,Jhin,Lux,False
213,Renekton,Amumu,Yasuo,Sivir,Zilean,Yorick,Belveth,Vex,Jhin,Lux,False
214,Teemo,Amumu,Akali,Sivir,Senna,Shen,Lillia,Katarina,Samira,Lux,False
215,Sion,Kindred,Ahri,Senna,Jhin,Nasus,Amumu,Lux,Sivir,Heimerdinger,True
216,Teemo,Viego,Veigar,Jhin,Lux,Sivir,Warwick,Vex,Ashe,Morgana,True
217,Sivir,Amumu,Velkoz,Jhin,Morgana,Mordekaiser,Poppy,Yone,Xayah,Zyra,False
218,Shyvana,Nunu,Annie,Ezreal,Lux,MissFortune,Khazix,Yone,Lucian,Amumu,False
219,Ryze,XinZhao,Malzahar,Caitlyn,Neeko,Darius,Rammus,Ekko,MissFortune,Velkoz,True
220,Singed,Amumu,Fizz,Zeri,Yuumi,Mordekaiser,Nunu,Tristana,Twitch,Taric,False
221,Yone,Nunu,Garen,Tristana,Xerath,Yorick,Diana,Talon,Varus,Heimerdinger,False
222,Jax,Nunu,Morgana,Samira,Yuumi,Shen,Pantheon,Kennen,Ashe,Sona,True
223,Jax,Nunu,Akali,Twitch,Vex,Irelia,Volibear,Ahri,Lux,Yuumi,False
224,Pyke,Rammus,Vladimir,Nilah,Sona,KSante,Rengar,Tryndamere,Ashe,Shaco,False
